y_class,QuantitySold,year,month,day,dayofweek,is_weekend,h_item,h_branch,h_invoice,h_item_branch,h_item_month
2,16,2025,4,26,5,1,1245,165,3222,973,1898
1,4,2025,4,26,5,1,240,165,999,1597,4615
0,2,2025,4,26,5,1,525,165,999,1536,835
2,12,2025,4,26,5,1,813,165,538,2466,2859
1,4,2025,4,26,5,1,566,165,538,219,3702
1,4,2025,4,26,5,1,410,165,538,1432,585
0,3,2025,4,26,5,1,1134,165,3379,3714,3156
2,12,2025,4,26,5,1,1393,165,3379,1600,1947
1,4,2025,4,26,5,1,1897,165,3379,4007,3308
1,4,2025,4,26,5,1,761,165,3379,54,1331
0,3,2025,4,26,5,1,776,165,3379,1200,4298
2,20,2025,4,26,5,1,639,27,2037,2526,4418
1,4,2025,4,26,5,1,1721,27,2037,1027,2660
1,4,2025,4,26,5,1,1897,165,2520,4007,3308
1,4,2025,4,26,5,1,1478,165,4219,1483,1389
2,20,2025,4,26,5,1,1561,165,4219,278,646
2,24,2025,4,26,5,1,813,165,4329,2466,2859
2,12,2025,4,26,5,1,692,165,638,3461,3277
0,3,2025,4,26,5,1,776,165,538,1200,4298
2,12,2025,4,26,5,1,740,165,638,2442,1563
2,12,2025,4,26,5,1,740,165,4184,2442,1563
2,12,2025,4,26,5,1,740,165,4564,2442,1563
2,16,2025,4,26,5,1,1245,165,4564,973,1898
2,36,2025,4,26,5,1,692,165,4564,3461,3277
1,4,2025,4,26,5,1,1620,165,638,3717,2104
2,12,2025,4,26,5,1,566,165,4564,219,3702
0,3,2025,4,26,5,1,776,165,638,1200,4298
1,4,2025,4,26,5,1,761,165,638,54,1331
1,4,2025,4,26,5,1,410,165,638,1432,585
2,36,2025,4,26,5,1,1505,165,4564,4596,102
1,8,2025,4,26,5,1,566,165,4329,219,3702
1,4,2025,4,26,5,1,1478,165,4761,1483,1389
2,12,2025,4,26,5,1,1261,165,4564,2864,4624
2,12,2025,4,26,5,1,1897,165,4564,4007,3308
2,12,2025,4,26,5,1,813,165,4761,2466,2859
2,12,2025,4,26,5,1,740,165,4761,2442,1563
2,12,2025,4,26,5,1,813,165,4184,2466,2859
1,8,2025,4,26,5,1,566,165,4184,219,3702
1,8,2025,4,26,5,1,1245,165,4184,973,1898
2,24,2025,4,26,5,1,813,165,3222,2466,2859
1,4,2025,4,26,5,1,1245,165,638,973,1898
2,12,2025,4,26,5,1,1478,165,4564,1483,1389
2,20,2025,4,26,5,1,566,165,3222,219,3702
1,4,2025,4,26,5,1,761,158,2329,1361,1331
2,24,2025,4,26,5,1,740,165,3222,2442,1563
1,4,2025,4,26,5,1,566,165,576,219,3702
2,24,2025,4,26,5,1,1798,165,3222,2052,2569
1,6,2025,4,26,5,1,1055,165,3222,1559,1312
2,12,2025,4,26,5,1,813,165,4816,2466,2859
2,12,2025,4,26,5,1,692,165,4816,3461,3277
0,1,2025,4,26,5,1,1908,27,3656,4155,2017
0,1,2025,4,26,5,1,1061,27,3656,3938,2406
1,4,2025,4,26,5,1,1456,113,1342,3376,4180
2,12,2025,4,26,5,1,813,165,3183,2466,2859
2,12,2025,4,26,5,1,740,165,576,2442,1563
2,12,2025,4,26,5,1,692,165,3183,3461,3277
1,4,2025,4,26,5,1,1561,165,3183,278,646
0,2,2025,4,26,5,1,172,165,3183,1122,2466
1,4,2025,4,26,5,1,566,165,497,219,3702
1,4,2025,4,26,5,1,1245,165,497,973,1898
2,12,2025,4,26,5,1,692,165,4242,3461,3277
1,8,2025,4,26,5,1,1245,165,4242,973,1898
2,12,2025,4,26,5,1,740,165,4242,2442,1563
1,4,2025,4,26,5,1,1334,165,4242,2056,304
2,12,2025,4,26,5,1,1166,165,4242,4444,3281
1,8,2025,4,26,5,1,1245,165,3183,973,1898
1,4,2025,4,26,5,1,566,165,3175,219,3702
2,15,2025,4,26,5,1,1704,113,984,2221,2645
1,8,2025,4,26,5,1,410,165,1057,1432,585
1,8,2025,4,26,5,1,566,165,2329,219,3702
2,15,2025,4,26,5,1,567,113,984,2899,3022
2,15,2025,4,26,5,1,1265,113,984,2025,2888
2,10,2025,4,26,5,1,1449,113,984,2764,2403
2,20,2025,4,26,5,1,1161,113,984,2734,3241
2,15,2025,4,26,5,1,324,113,984,4240,4722
2,10,2025,4,26,5,1,285,113,984,3928,2844
2,15,2025,4,26,5,1,1115,113,984,632,2954
1,5,2025,4,26,5,1,1194,113,984,3478,3811
2,10,2025,4,26,5,1,1174,113,984,1600,1504
2,15,2025,4,26,5,1,1733,113,984,1862,4715
1,4,2025,4,26,5,1,1478,165,3222,1483,1389
2,12,2025,4,26,5,1,813,165,523,2466,2859
1,4,2025,4,26,5,1,566,165,523,219,3702
2,12,2025,4,26,5,1,692,165,523,3461,3277
1,4,2025,4,26,5,1,410,165,523,1432,585
2,24,2025,4,26,5,1,692,158,134,937,3277
2,24,2025,4,26,5,1,813,165,134,2466,2859
2,12,2025,4,26,5,1,692,165,134,3461,3277
1,4,2025,4,26,5,1,1245,158,3175,1365,1898
2,12,2025,4,26,5,1,740,165,2329,2442,1563
2,10,2025,4,26,5,1,197,27,3161,2611,1593
1,4,2025,4,26,5,1,241,27,491,3549,1003
0,2,2025,4,26,5,1,1741,27,1571,1340,595
2,10,2025,4,26,5,1,1942,27,4469,2582,2472
2,10,2025,4,26,5,1,860,27,176,2768,301
1,5,2025,4,26,5,1,1344,158,4201,4947,1038
0,3,2025,4,26,5,1,18,158,4201,168,4802
2,12,2025,4,26,5,1,740,158,4023,4683,1563
2,12,2025,4,26,5,1,740,158,395,4683,1563
1,4,2025,4,26,5,1,410,158,395,1133,585
2,10,2025,4,26,5,1,388,27,1591,1489,4892
1,5,2025,4,26,5,1,779,158,2049,508,1424
0,3,2025,4,26,5,1,1397,158,2049,1297,476
1,4,2025,4,26,5,1,1873,158,2049,1761,1908
1,5,2025,4,26,5,1,1030,158,2049,429,1575
2,10,2025,4,26,5,1,200,158,2049,2471,3782
0,2,2025,4,26,5,1,1943,158,2049,171,3311
1,4,2025,4,26,5,1,1628,158,2049,3903,4480
1,4,2025,4,26,5,1,1557,158,2049,4227,820
0,3,2025,4,26,5,1,786,158,2049,3543,2505
0,3,2025,4,26,5,1,985,158,2049,2997,4701
0,2,2025,4,26,5,1,162,27,4469,1963,3915
0,2,2025,4,26,5,1,834,158,2584,2696,3834
0,2,2025,4,26,5,1,21,27,2489,4338,1994
0,2,2025,4,26,5,1,1950,27,2489,1038,2584
2,22,2025,4,26,5,1,241,27,1456,3549,1003
2,40,2025,4,26,5,1,86,27,1456,1021,3336
0,2,2025,4,26,5,1,993,27,2489,3587,3000
1,4,2025,4,26,5,1,789,27,2489,791,475
1,4,2025,4,26,5,1,1245,27,2489,3806,1898
1,4,2025,4,26,5,1,1478,27,2489,3447,1389
1,4,2025,4,26,5,1,410,27,2489,588,585
0,1,2025,4,26,5,1,538,158,3337,352,2443
2,10,2025,4,26,5,1,127,158,1456,4466,4391
0,2,2025,4,26,5,1,1152,158,1456,836,4042
2,15,2025,4,26,5,1,1938,27,4469,3077,4267
2,40,2025,4,26,5,1,815,27,1456,4016,1811
2,120,2025,4,26,5,1,1148,27,1456,1471,3518
2,10,2025,4,26,5,1,1776,27,1456,917,2221
2,50,2025,4,26,5,1,1097,27,1456,793,3232
2,80,2025,4,26,5,1,694,27,1456,1736,3857
2,30,2025,4,26,5,1,1984,27,1456,573,845
2,20,2025,4,26,5,1,517,27,1456,4729,1708
2,50,2025,4,26,5,1,1755,27,1456,2541,1787
2,10,2025,4,26,5,1,828,27,1456,2007,2391
2,10,2025,4,26,5,1,1986,27,1456,3225,1614
0,2,2025,4,26,5,1,693,27,1456,358,4308
2,10,2025,4,26,5,1,423,27,1456,3214,1567
2,60,2025,4,26,5,1,1788,27,1456,2436,640
1,5,2025,4,26,5,1,1584,27,445,1705,3094
0,2,2025,4,26,5,1,200,27,1035,1097,3782
1,4,2025,4,26,5,1,111,27,1456,1035,2855
2,60,2025,4,26,5,1,1034,27,1456,3746,1456
2,10,2025,4,26,5,1,1892,158,2734,366,1771
1,5,2025,4,26,5,1,1630,158,2734,4383,1156
2,15,2025,4,26,5,1,661,158,3230,1918,4513
1,8,2025,4,26,5,1,602,158,3066,4821,2006
2,10,2025,4,26,5,1,86,158,3066,2330,3336
2,20,2025,4,26,5,1,1056,158,3066,4914,1285
1,5,2025,4,26,5,1,697,27,176,2189,4768
2,20,2025,4,26,5,1,1842,158,3066,103,1142
0,3,2025,4,26,5,1,397,158,3066,2564,388
1,5,2025,4,26,5,1,679,158,3066,257,2829
1,5,2025,4,26,5,1,1815,158,3066,4057,2791
1,5,2025,4,26,5,1,497,27,3066,3070,1599
1,5,2025,4,26,5,1,1211,27,3066,986,1060
0,2,2025,4,26,5,1,397,27,3066,925,388
0,2,2025,4,26,5,1,1870,113,2924,1353,1011
0,1,2025,4,26,5,1,1515,113,2924,2456,155
0,3,2025,4,26,5,1,1856,27,736,1269,4243
1,5,2025,4,26,5,1,1211,158,3066,3298,1060
2,10,2025,4,26,5,1,1874,27,445,4210,3091
2,10,2025,4,26,5,1,1649,27,204,541,2634
0,1,2025,4,26,5,1,8,158,761,52,4417
1,5,2025,4,26,5,1,1177,27,4889,276,1206
2,10,2025,4,26,5,1,1903,27,3161,888,2010
2,10,2025,4,26,5,1,116,27,3161,3888,3701
2,13,2025,4,26,5,1,754,27,3161,1446,1067
0,2,2025,4,26,5,1,1449,27,1611,2813,2403
0,3,2025,4,26,5,1,21,27,4889,4338,1994
1,4,2025,4,26,5,1,1938,27,4889,3077,4267
1,5,2025,4,26,5,1,610,27,4889,558,4470
0,3,2025,4,26,5,1,12,27,4889,3275,3289
2,10,2025,4,26,5,1,359,27,204,1945,2806
1,4,2025,4,26,5,1,1637,27,4889,3973,2606
1,5,2025,4,26,5,1,1152,27,1456,2446,4042
1,5,2025,4,26,5,1,1634,27,4889,2804,3322
1,5,2025,4,26,5,1,685,27,4889,997,1229
0,3,2025,4,26,5,1,87,27,4889,2471,3108
1,5,2025,4,26,5,1,1840,27,4889,4279,398
1,4,2025,4,26,5,1,320,158,761,4067,1286
1,8,2025,4,26,5,1,1084,158,761,2707,307
1,4,2025,4,26,5,1,4,158,761,2513,1582
0,1,2025,4,26,5,1,1456,158,761,3790,4180
1,5,2025,4,26,5,1,1030,27,4889,4002,1575
0,1,2025,4,26,5,1,1897,27,3604,2785,3020
1,6,2025,4,26,5,1,1286,27,204,1463,4030
2,20,2025,4,26,5,1,455,27,3025,4491,697
0,2,2025,4,26,5,1,1449,158,4853,609,2403
0,3,2025,4,26,5,1,1873,158,4853,1761,1908
0,2,2025,4,26,5,1,1553,158,4853,3584,976
1,4,2025,4,26,5,1,627,158,4853,3503,651
0,2,2025,4,26,5,1,1776,158,4853,1639,2391
0,1,2025,4,26,5,1,633,27,4853,1859,4494
0,3,2025,4,26,5,1,1415,27,4853,555,4560
0,3,2025,4,26,5,1,18,27,229,1480,4802
0,2,2025,4,26,5,1,1637,27,2452,3973,2606
0,2,2025,4,26,5,1,438,27,2452,3124,2613
0,3,2025,4,26,5,1,1265,158,1463,3176,2888
1,4,2025,4,26,5,1,1176,27,4121,1726,3823
0,2,2025,4,26,5,1,1733,113,3187,1862,4715
1,4,2025,4,26,5,1,1985,158,3496,2503,2215
1,5,2025,4,26,5,1,1704,158,1463,1509,2645
0,2,2025,4,26,5,1,555,158,1463,3207,4935
0,3,2025,4,26,5,1,610,158,1463,2547,4470
1,4,2025,4,26,5,1,1892,158,1463,366,1771
1,5,2025,4,26,5,1,1174,158,1463,4565,1504
0,2,2025,4,26,5,1,1194,27,2452,2095,3811
2,10,2025,4,26,5,1,702,27,176,3035,797
1,4,2025,4,26,5,1,285,158,1463,1509,2844
0,2,2025,4,26,5,1,116,158,1463,2557,3701
0,1,2025,4,26,5,1,627,27,3604,4069,4180
0,2,2025,4,26,5,1,1658,158,1463,576,2808
1,4,2025,4,26,5,1,754,158,1463,1237,1067
